sale_id,customer_id,product_id,sale_date,quantity,unit_price,discount_rate,revenue,channel
1,53,2,2024-09-28,3,158.31,0.05,451.18,Direct
2,35,13,2024-05-28,1,145.23,0.0,145.23,Partner
3,44,18,2024-09-13,1,286.03,0.0,286.03,Online
4,23,19,2024-04-01,1,138.32,0.0,138.32,Partner
5,6,7,2024-06-26,1,459.69,0.0,459.69,Direct
6,119,15,2024-05-08,1,381.95,0.05,362.85,Direct
7,67,13,2024-01-08,3,145.23,0.0,435.69,Direct
8,56,17,2024-09-15,5,362.21,0.1,1629.94,Online
9,94,10,2024-04-07,1,294.85,0.0,294.85,Online
10,71,3,2024-08-31,2,97.31,0.0,194.62,Direct
11,10,4,2024-08-16,2,395.65,0.0,791.3,Direct
12,22,7,2024-12-03,2,459.69,0.0,919.38,Online
13,22,3,2024-08-09,2,97.31,0.0,194.62,Online
14,73,14,2024-09-10,2,194.71,0.1,350.48,Online
15,8,22,2024-07-20,1,359.07,0.05,341.12,Online
16,46,19,2024-06-06,1,138.32,0.0,138.32,Online
17,9,21,2024-04-20,1,278.4,0.0,278.4,Direct
18,60,18,2024-06-24,1,286.03,0.0,286.03,Direct
19,14,25,2024-12-27,1,225.87,0.0,225.87,Online
20,97,18,2024-11-21,3,286.03,0.0,858.09,Direct
21,55,17,2024-07-26,1,362.21,0.05,344.1,Partner
22,51,21,2024-01-28,2,278.4,0.0,556.8,Direct
23,63,21,2024-01-08,1,278.4,0.0,278.4,Direct
24,33,14,2024-11-16,2,194.71,0.15,331.01,Online
25,42,22,2024-05-10,1,359.07,0.0,359.07,Partner
26,74,10,2024-03-24,1,294.85,0.1,265.37,Direct
27,99,5,2024-02-13,1,206.77,0.0,206.77,Online
28,4,6,2024-07-14,5,133.44,0.0,667.2,Online
29,101,20,2024-12-09,1,341.71,0.1,307.54,Partner
30,111,24,2024-11-02,2,395.55,0.0,791.1,Direct
31,118,3,2024-12-20,1,97.31,0.0,97.31,Partner
32,64,19,2024-01-24,1,138.32,0.05,131.4,Partner
33,105,8,2024-04-04,1,436.52,0.0,436.52,Direct
34,40,25,2024-05-17,1,225.87,0.0,225.87,Partner
35,1,21,2024-01-02,3,278.4,0.0,835.2,Partner
36,94,17,2024-07-05,1,362.21,0.05,344.1,Partner
37,31,19,2024-10-07,1,138.32,0.0,138.32,Partner
38,21,18,2024-05-05,1,286.03,0.0,286.03,Direct
39,36,24,2024-06-07,3,395.55,0.05,1127.32,Direct
40,86,7,2024-07-01,1,459.69,0.05,436.71,Direct
41,88,20,2024-01-01,2,341.71,0.1,615.08,Partner
42,23,5,2024-07-14,1,206.77,0.0,206.77,Direct
43,55,11,2024-08-31,1,251.67,0.0,251.67,Partner
44,18,17,2024-09-14,2,362.21,0.0,724.42,Online
45,5,15,2024-04-12,1,381.95,0.0,381.95,Direct
46,29,13,2024-09-15,1,145.23,0.0,145.23,Direct
47,22,1,2024-02-16,1,202.03,0.05,191.93,Partner
48,6,13,2024-02-15,2,145.23,0.0,290.46,Direct
49,114,23,2024-07-23,1,307.04,0.0,307.04,Online
50,38,5,2024-01-22,2,206.77,0.1,372.19,Partner
51,87,3,2024-01-12,1,97.31,0.0,97.31,Partner
52,39,8,2024-06-04,1,436.52,0.0,436.52,Online
53,1,19,2024-04-29,2,138.32,0.0,276.64,Direct
54,15,15,2024-10-26,1,381.95,0.05,362.85,Online
55,93,10,2024-03-20,1,294.85,0.05,280.11,Online
56,24,24,2024-11-01,2,395.55,0.1,711.99,Partner
57,80,14,2024-06-15,1,194.71,0.0,194.71,Online
58,104,5,2024-09-10,1,206.77,0.05,196.43,Direct
59,2,21,2024-05-25,1,278.4,0.0,278.4,Online
60,28,4,2024-11-12,1,395.65,0.1,356.08,Online
61,118,24,2024-03-15,1,395.55,0.0,395.55,Direct
62,77,15,2024-09-19,5,381.95,0.0,1909.75,Online
63,60,25,2024-08-07,1,225.87,0.15,191.99,Online
64,19,12,2024-12-24,1,361.12,0.05,343.06,Online
65,5,12,2024-03-12,1,361.12,0.0,361.12,Online
66,4,14,2024-09-15,1,194.71,0.0,194.71,Online
67,1,11,2024-01-09,2,251.67,0.0,503.34,Online
68,118,5,2024-10-26,1,206.77,0.15,175.75,Online
69,56,1,2024-12-15,1,202.03,0.0,202.03,Online
70,97,8,2024-11-25,1,436.52,0.1,392.87,Direct
71,56,5,2024-02-13,5,206.77,0.0,1033.85,Direct
72,47,24,2024-01-22,1,395.55,0.0,395.55,Direct
73,92,3,2024-11-22,2,97.31,0.1,175.16,Partner
74,114,2,2024-02-23,3,158.31,0.1,427.44,Partner
75,46,18,2024-08-19,1,286.03,0.1,257.43,Online
76,73,23,2024-01-26,1,307.04,0.0,307.04,Online
77,23,9,2024-01-10,2,228.5,0.0,457.0,Online
78,54,1,2024-09-29,3,202.03,0.05,575.79,Online
79,30,13,2024-05-05,1,145.23,0.0,145.23,Partner
80,48,22,2024-05-15,1,359.07,0.0,359.07,Direct
81,120,22,2024-08-21,3,359.07,0.05,1023.35,Direct
82,9,12,2024-09-14,1,361.12,0.0,361.12,Online
