sale_id,customer_id,product_id,quantity,unit_price,discount_rate,revenue,channel,date_id
1,53,2,3,158.31,0.05,451.18,Direct,20240928
2,35,13,1,145.23,0.0,145.23,Partner,20240528
3,44,18,1,286.03,0.0,286.03,Online,20240913
4,23,19,1,138.32,0.0,138.32,Partner,20240401
5,6,7,1,459.69,0.0,459.69,Direct,20240626
6,119,15,1,381.95,0.05,362.85,Direct,20240508
7,67,13,3,145.23,0.0,435.69,Direct,20240108
8,56,17,5,362.21,0.1,1629.94,Online,20240915
9,94,10,1,294.85,0.0,294.85,Online,20240407
10,71,3,2,97.31,0.0,194.62,Direct,20240831
11,10,4,2,395.65,0.0,791.3,Direct,20240816
12,22,7,2,459.69,0.0,919.38,Online,20241203
13,22,3,2,97.31,0.0,194.62,Online,20240809
14,73,14,2,194.71,0.1,350.48,Online,20240910
15,8,22,1,359.07,0.05,341.12,Online,20240720
16,46,19,1,138.32,0.0,138.32,Online,20240606
17,9,21,1,278.4,0.0,278.4,Direct,20240420
18,60,18,1,286.03,0.0,286.03,Direct,20240624
19,14,25,1,225.87,0.0,225.87,Online,20241227
20,97,18,3,286.03,0.0,858.09,Direct,20241121
21,55,17,1,362.21,0.05,344.1,Partner,20240726
22,51,21,2,278.4,0.0,556.8,Direct,20240128
23,63,21,1,278.4,0.0,278.4,Direct,20240108
24,33,14,2,194.71,0.15,331.01,Online,20241116
25,42,22,1,359.07,0.0,359.07,Partner,20240510
26,74,10,1,294.85,0.1,265.37,Direct,20240324
27,99,5,1,206.77,0.0,206.77,Online,20240213
28,4,6,5,133.44,0.0,667.2,Online,20240714
29,101,20,1,341.71,0.1,307.54,Partner,20241209
30,111,24,2,395.55,0.0,791.1,Direct,20241102
31,118,3,1,97.31,0.0,97.31,Partner,20241220
32,64,19,1,138.32,0.05,131.4,Partner,20240124
33,105,8,1,436.52,0.0,436.52,Direct,20240404
34,40,25,1,225.87,0.0,225.87,Partner,20240517
35,1,21,3,278.4,0.0,835.2,Partner,20240102
36,94,17,1,362.21,0.05,344.1,Partner,20240705
37,31,19,1,138.32,0.0,138.32,Partner,20241007
38,21,18,1,286.03,0.0,286.03,Direct,20240505
39,36,24,3,395.55,0.05,1127.32,Direct,20240607
40,86,7,1,459.69,0.05,436.71,Direct,20240701
41,88,20,2,341.71,0.1,615.08,Partner,20240101
42,23,5,1,206.77,0.0,206.77,Direct,20240714
43,55,11,1,251.67,0.0,251.67,Partner,20240831
44,18,17,2,362.21,0.0,724.42,Online,20240914
45,5,15,1,381.95,0.0,381.95,Direct,20240412
46,29,13,1,145.23,0.0,145.23,Direct,20240915
47,22,1,1,202.03,0.05,191.93,Partner,20240216
48,6,13,2,145.23,0.0,290.46,Direct,20240215
49,114,23,1,307.04,0.0,307.04,Online,20240723
50,38,5,2,206.77,0.1,372.19,Partner,20240122
51,87,3,1,97.31,0.0,97.31,Partner,20240112
52,39,8,1,436.52,0.0,436.52,Online,20240604
53,1,19,2,138.32,0.0,276.64,Direct,20240429
54,15,15,1,381.95,0.05,362.85,Online,20241026
55,93,10,1,294.85,0.05,280.11,Online,20240320
56,24,24,2,395.55,0.1,711.99,Partner,20241101
57,80,14,1,194.71,0.0,194.71,Online,20240615
58,104,5,1,206.77,0.05,196.43,Direct,20240910
59,2,21,1,278.4,0.0,278.4,Online,20240525
60,28,4,1,395.65,0.1,356.08,Online,20241112
61,118,24,1,395.55,0.0,395.55,Direct,20240315
62,77,15,5,381.95,0.0,1909.75,Online,20240919
63,60,25,1,225.87,0.15,191.99,Online,20240807
64,19,12,1,361.12,0.05,343.06,Online,20241224
65,5,12,1,361.12,0.0,361.12,Online,20240312
66,4,14,1,194.71,0.0,194.71,Online,20240915
67,1,11,2,251.67,0.0,503.34,Online,20240109
68,118,5,1,206.77,0.15,175.75,Online,20241026
69,56,1,1,202.03,0.0,202.03,Online,20241215
70,97,8,1,436.52,0.1,392.87,Direct,20241125
71,56,5,5,206.77,0.0,1033.85,Direct,20240213
72,47,24,1,395.55,0.0,395.55,Direct,20240122
73,92,3,2,97.31,0.1,175.16,Partner,20241122
74,114,2,3,158.31,0.1,427.44,Partner,20240223
75,46,18,1,286.03,0.1,257.43,Online,20240819
76,73,23,1,307.04,0.0,307.04,Online,20240126
77,23,9,2,228.5,0.0,457.0,Online,20240110
78,54,1,3,202.03,0.05,575.79,Online,20240929
79,30,13,1,145.23,0.0,145.23,Partner,20240505
80,48,22,1,359.07,0.0,359.07,Direct,20240515
81,120,22,3,359.07,0.05,1023.35,Direct,20240821
82,9,12,1,361.12,0.0,361.12,Online,20240914
83,112,20,1,341.71,0.0,341.71,Online,20240217
84,8,14,1,194.71,0.1,175.24,Direct,20240926
85,5,3,1,97.31,0.05,92.44,Partner,20240830
86,25,1,1,202.03,0.0,202.03,Partner,20240208
87,91,16,3,131.16,0.0,393.48,Online,20240430
88,45,25,1,225.87,0.0,225.87,Direct,20240415
89,26,14,2,194.71,0.0,389.42,Partner,20241128
90,18,11,1,251.67,0.0,251.67,Partner,20240909
91,84,23,2,307.04,0.1,552.67,Partner,20240209
92,72,6,1,133.44,0.0,133.44,Partner,20241216
93,106,4,3,395.65,0.0,1186.95,Online,20240124
94,85,20,2,341.71,0.0,683.42,Online,20241119
95,36,16,2,131.16,0.05,249.2,Direct,20240411
96,66,21,1,278.4,0.05,264.48,Direct,20241103
97,9,22,2,359.07,0.0,718.14,Partner,20240618
98,114,2,1,158.31,0.0,158.31,Online,20241129
99,101,2,5,158.31,0.0,791.55,Partner,20241220
100,74,12,3,361.12,0.0,1083.36,Online,20241114
101,99,18,1,286.03,0.0,286.03,Direct,20240309
102,96,19,1,138.32,0.0,138.32,Direct,20240903
103,87,17,2,362.21,0.05,688.2,Partner,20240905
104,85,3,2,97.31,0.0,194.62,Direct,20241210
105,104,20,1,341.71,0.0,341.71,Direct,20241220
106,11,17,2,362.21,0.0,724.42,Partner,20241211
107,44,20,2,341.71,0.0,683.42,Online,20240528
108,1,13,1,145.23,0.0,145.23,Partner,20240921
109,92,19,1,138.32,0.0,138.32,Partner,20240825
110,20,11,1,251.67,0.05,239.09,Direct,20240826
111,90,1,3,202.03,0.05,575.79,Direct,20241008
112,79,6,3,133.44,0.0,400.32,Direct,20240608
113,52,18,3,286.03,0.1,772.28,Direct,20240830
114,57,2,2,158.31,0.0,316.62,Partner,20240528
115,31,10,1,294.85,0.0,294.85,Online,20240209
116,45,5,3,206.77,0.0,620.31,Partner,20240818
117,40,14,1,194.71,0.0,194.71,Direct,20240717
118,78,12,1,361.12,0.0,361.12,Direct,20240417
119,55,25,1,225.87,0.0,225.87,Direct,20241024
120,52,19,1,138.32,0.0,138.32,Online,20240313
121,75,17,1,362.21,0.05,344.1,Partner,20240925
122,32,18,1,286.03,0.1,257.43,Direct,20240703
123,85,23,2,307.04,0.1,552.67,Online,20241104
124,43,10,2,294.85,0.05,560.22,Partner,20240917
125,59,9,1,228.5,0.0,228.5,Online,20240227
126,32,24,3,395.55,0.0,1186.65,Direct,20240705
127,31,4,2,395.65,0.0,791.3,Partner,20240911
128,60,9,1,228.5,0.0,228.5,Direct,20240720
129,113,18,1,286.03,0.0,286.03,Direct,20240322
130,5,16,3,131.16,0.0,393.48,Online,20240908
131,83,24,2,395.55,0.0,791.1,Partner,20240818
132,62,8,1,436.52,0.0,436.52,Online,20240603
133,22,10,2,294.85,0.0,589.7,Partner,20240313
134,10,2,2,158.31,0.1,284.96,Partner,20240625
135,107,4,1,395.65,0.0,395.65,Direct,20240610
136,67,1,5,202.03,0.0,1010.15,Direct,20240618
137,87,1,1,202.03,0.0,202.03,Partner,20240615
138,15,19,1,138.32,0.05,131.4,Direct,20240722
139,50,7,2,459.69,0.0,919.38,Online,20240410
140,118,15,3,381.95,0.0,1145.85,Online,20240107
