sale_id,customer_sk,product_sk,date_id,channel,quantity,unit_price,discount_rate,revenue
1,60,2,20240928,Direct,3,158.31,0.05,451.18
2,41,13,20240528,Partner,1,145.23,0.0,145.23
3,50,18,20240913,Online,1,286.03,0.0,286.03
4,27,19,20240401,Partner,1,138.32,0.0,138.32
5,7,7,20240626,Direct,1,459.69,0.0,459.69
6,139,15,20240508,Direct,1,381.95,0.05,362.85
7,78,13,20240108,Direct,3,145.23,0.0,435.69
8,64,17,20240915,Online,5,362.21,0.1,1629.94
9,110,10,20240407,Online,1,294.85,0.0,294.85
10,83,3,20240831,Direct,2,97.31,0.0,194.62
11,11,4,20240816,Direct,2,395.65,0.0,791.3
12,26,7,20241203,Online,2,459.69,0.0,919.38
13,26,3,20240809,Online,2,97.31,0.0,194.62
14,86,14,20240910,Online,2,194.71,0.1,350.48
15,9,22,20240720,Online,1,359.07,0.05,341.12
16,52,19,20240606,Online,1,138.32,0.0,138.32
17,10,21,20240420,Direct,1,278.4,0.0,278.4
18,68,18,20240624,Direct,1,286.03,0.0,286.03
19,17,25,20241227,Online,1,225.87,0.0,225.87
20,113,18,20241121,Direct,3,286.03,0.0,858.09
21,63,17,20240726,Partner,1,362.21,0.05,344.1
22,58,21,20240128,Direct,2,278.4,0.0,556.8
23,72,21,20240108,Direct,1,278.4,0.0,278.4
24,39,14,20241116,Online,2,194.71,0.15,331.01
25,48,22,20240510,Partner,1,359.07,0.0,359.07
26,87,10,20240324,Direct,1,294.85,0.1,265.37
27,116,5,20240213,Online,1,206.77,0.0,206.77
28,5,6,20240714,Online,5,133.44,0.0,667.2
29,119,20,20241209,Partner,1,341.71,0.1,307.54
30,131,24,20241102,Direct,2,395.55,0.0,791.1
31,138,3,20241220,Partner,1,97.31,0.0,97.31
32,73,19,20240124,Partner,1,138.32,0.05,131.4
33,124,8,20240404,Direct,1,436.52,0.0,436.52
34,46,25,20240517,Partner,1,225.87,0.0,225.87
35,1,21,20240102,Partner,3,278.4,0.0,835.2
36,110,17,20240705,Partner,1,362.21,0.05,344.1
37,37,19,20241007,Partner,1,138.32,0.0,138.32
38,24,18,20240505,Direct,1,286.03,0.0,286.03
39,42,24,20240607,Direct,3,395.55,0.05,1127.32
40,100,7,20240701,Direct,1,459.69,0.05,436.71
41,102,20,20240101,Partner,2,341.71,0.1,615.08
42,27,5,20240714,Direct,1,206.77,0.0,206.77
43,63,11,20240831,Partner,1,251.67,0.0,251.67
44,21,17,20240914,Online,2,362.21,0.0,724.42
45,6,15,20240412,Direct,1,381.95,0.0,381.95
46,35,13,20240915,Direct,1,145.23,0.0,145.23
47,26,1,20240216,Partner,1,202.03,0.05,191.93
48,7,13,20240215,Direct,2,145.23,0.0,290.46
49,134,23,20240723,Online,1,307.04,0.0,307.04
50,44,5,20240122,Partner,2,206.77,0.1,372.19
51,101,3,20240112,Partner,1,97.31,0.0,97.31
52,45,8,20240604,Online,1,436.52,0.0,436.52
53,1,19,20240429,Direct,2,138.32,0.0,276.64
54,18,15,20241026,Online,1,381.95,0.05,362.85
55,108,10,20240320,Online,1,294.85,0.05,280.11
56,29,24,20241101,Partner,2,395.55,0.1,711.99
57,94,14,20240615,Online,1,194.71,0.0,194.71
58,123,5,20240910,Direct,1,206.77,0.05,196.43
59,2,21,20240525,Online,1,278.4,0.0,278.4
60,34,4,20241112,Online,1,395.65,0.1,356.08
61,138,24,20240315,Direct,1,395.55,0.0,395.55
62,90,15,20240919,Online,5,381.95,0.0,1909.75
63,68,25,20240807,Online,1,225.87,0.15,191.99
64,22,12,20241224,Online,1,361.12,0.05,343.06
65,6,12,20240312,Online,1,361.12,0.0,361.12
66,5,14,20240915,Online,1,194.71,0.0,194.71
67,1,11,20240109,Online,2,251.67,0.0,503.34
68,138,5,20241026,Online,1,206.77,0.15,175.75
69,64,1,20241215,Online,1,202.03,0.0,202.03
70,113,8,20241125,Direct,1,436.52,0.1,392.87
71,64,5,20240213,Direct,5,206.77,0.0,1033.85
72,53,24,20240122,Direct,1,395.55,0.0,395.55
73,107,3,20241122,Partner,2,97.31,0.1,175.16
74,134,2,20240223,Partner,3,158.31,0.1,427.44
75,52,18,20240819,Online,1,286.03,0.1,257.43
76,86,23,20240126,Online,1,307.04,0.0,307.04
77,27,9,20240110,Online,2,228.5,0.0,457.0
78,62,1,20240929,Online,3,202.03,0.05,575.79
79,36,13,20240505,Partner,1,145.23,0.0,145.23
80,55,22,20240515,Direct,1,359.07,0.0,359.07
81,140,22,20240821,Direct,3,359.07,0.05,1023.35
82,10,12,20240914,Online,1,361.12,0.0,361.12
83,132,20,20240217,Online,1,341.71,0.0,341.71
84,9,14,20240926,Direct,1,194.71,0.1,175.24
85,6,3,20240830,Partner,1,97.31,0.05,92.44
86,30,1,20240208,Partner,1,202.03,0.0,202.03
87,106,16,20240430,Online,3,131.16,0.0,393.48
88,51,25,20240415,Direct,1,225.87,0.0,225.87
89,32,14,20241128,Partner,2,194.71,0.0,389.42
90,21,11,20240909,Partner,1,251.67,0.0,251.67
91,98,23,20240209,Partner,2,307.04,0.1,552.67
92,85,6,20241216,Partner,1,133.44,0.0,133.44
93,125,4,20240124,Online,3,395.65,0.0,1186.95
94,99,20,20241119,Online,2,341.71,0.0,683.42
95,42,16,20240411,Direct,2,131.16,0.05,249.2
96,77,21,20241103,Direct,1,278.4,0.05,264.48
97,10,22,20240618,Partner,2,359.07,0.0,718.14
98,134,2,20241129,Online,1,158.31,0.0,158.31
99,119,2,20241220,Partner,5,158.31,0.0,791.55
100,87,12,20241114,Online,3,361.12,0.0,1083.36
101,116,18,20240309,Direct,1,286.03,0.0,286.03
102,112,19,20240903,Direct,1,138.32,0.0,138.32
103,101,17,20240905,Partner,2,362.21,0.05,688.2
104,99,3,20241210,Direct,2,97.31,0.0,194.62
105,123,20,20241220,Direct,1,341.71,0.0,341.71
106,13,17,20241211,Partner,2,362.21,0.0,724.42
107,50,20,20240528,Online,2,341.71,0.0,683.42
108,1,13,20240921,Partner,1,145.23,0.0,145.23
109,107,19,20240825,Partner,1,138.32,0.0,138.32
110,23,11,20240826,Direct,1,251.67,0.05,239.09
111,105,1,20241008,Direct,3,202.03,0.05,575.79
112,92,6,20240608,Direct,3,133.44,0.0,400.32
113,59,18,20240830,Direct,3,286.03,0.1,772.28
114,65,2,20240528,Partner,2,158.31,0.0,316.62
115,37,10,20240209,Online,1,294.85,0.0,294.85
116,51,5,20240818,Partner,3,206.77,0.0,620.31
117,46,14,20240717,Direct,1,194.71,0.0,194.71
118,91,12,20240417,Direct,1,361.12,0.0,361.12
119,63,25,20241024,Direct,1,225.87,0.0,225.87
120,59,19,20240313,Online,1,138.32,0.0,138.32
121,88,17,20240925,Partner,1,362.21,0.05,344.1
122,38,18,20240703,Direct,1,286.03,0.1,257.43
123,99,23,20241104,Online,2,307.04,0.1,552.67
124,49,10,20240917,Partner,2,294.85,0.05,560.22
125,67,9,20240227,Online,1,228.5,0.0,228.5
126,38,24,20240705,Direct,3,395.55,0.0,1186.65
127,37,4,20240911,Partner,2,395.65,0.0,791.3
128,68,9,20240720,Direct,1,228.5,0.0,228.5
129,133,18,20240322,Direct,1,286.03,0.0,286.03
130,6,16,20240908,Online,3,131.16,0.0,393.48
131,97,24,20240818,Partner,2,395.55,0.0,791.1
132,70,8,20240603,Online,1,436.52,0.0,436.52
133,26,10,20240313,Partner,2,294.85,0.0,589.7
134,11,2,20240625,Partner,2,158.31,0.1,284.96
135,126,4,20240610,Direct,1,395.65,0.0,395.65
136,79,1,20240618,Direct,5,202.03,0.0,1010.15
137,101,1,20240615,Partner,1,202.03,0.0,202.03
138,18,19,20240722,Direct,1,138.32,0.05,131.4
139,57,7,20240410,Online,2,459.69,0.0,919.38
140,138,15,20240107,Online,3,381.95,0.0,1145.85
141,37,11,20240528,Partner,1,251.67,0.0,251.67
142,65,25,20240709,Direct,2,225.87,0.0,451.74
143,103,15,20240720,Partner,3,381.95,0.05,1088.56
144,40,11,20241028,Direct,1,251.67,0.05,239.09
145,51,18,20240703,Partner,1,286.03,0.0,286.03
146,127,17,20240520,Direct,1,362.21,0.15,307.88
147,43,21,20240523,Direct,1,278.4,0.05,264.48
148,49,13,20240127,Online,1,145.23,0.0,145.23
149,121,18,20240526,Online,3,286.03,0.0,858.09
150,41,17,20240317,Direct,1,362.21,0.0,362.21
151,33,14,20240516,Partner,1,194.71,0.0,194.71
152,81,19,20240918,Partner,3,138.32,0.0,414.96
153,5,18,20240407,Partner,1,286.03,0.0,286.03
154,139,8,20240807,Direct,1,436.52,0.05,414.69
155,122,5,20241119,Partner,1,206.77,0.0,206.77
156,98,9,20241010,Online,2,228.5,0.0,457.0
157,69,9,20240414,Online,2,228.5,0.0,457.0
158,108,3,20240211,Direct,2,97.31,0.0,194.62
159,73,23,20240729,Partner,2,307.04,0.0,614.08
160,127,8,20241110,Direct,2,436.52,0.1,785.74
161,94,16,20241125,Partner,2,131.16,0.0,262.32
162,43,23,20240905,Direct,5,307.04,0.1,1381.68
163,64,5,20241008,Direct,1,206.77,0.05,196.43
164,3,22,20240328,Partner,1,359.07,0.0,359.07
165,69,14,20240731,Partner,1,194.71,0.0,194.71
166,99,15,20240524,Partner,5,381.95,0.0,1909.75
167,84,23,20240510,Online,2,307.04,0.0,614.08
168,18,17,20241130,Partner,3,362.21,0.0,1086.63
169,72,25,20240726,Online,1,225.87,0.0,225.87
170,65,11,20240502,Partner,1,251.67,0.0,251.67
171,43,17,20240904,Online,2,362.21,0.0,724.42
172,130,9,20241208,Partner,2,228.5,0.0,457.0
173,83,9,20240302,Direct,2,228.5,0.1,411.3
174,123,25,20241125,Direct,2,225.87,0.05,429.15
175,56,23,20240208,Direct,1,307.04,0.1,276.34
176,13,25,20240913,Partner,1,225.87,0.0,225.87
177,99,15,20241008,Direct,1,381.95,0.05,362.85
178,28,7,20240819,Partner,2,459.69,0.0,919.38
179,87,3,20240818,Partner,1,97.31,0.0,97.31
180,89,4,20240312,Online,1,395.65,0.0,395.65
181,94,13,20240408,Direct,1,145.23,0.0,145.23
182,19,12,20240216,Direct,1,361.12,0.1,325.01
183,39,13,20240624,Online,1,145.23,0.0,145.23
184,42,19,20240216,Partner,1,138.32,0.0,138.32
185,136,3,20240502,Partner,2,97.31,0.0,194.62
186,61,18,20240512,Online,1,286.03,0.0,286.03
187,107,4,20240413,Direct,2,395.65,0.0,791.3
188,91,10,20240730,Partner,2,294.85,0.0,589.7
189,37,8,20240730,Online,2,436.52,0.0,873.04
190,105,4,20240925,Direct,2,395.65,0.0,791.3
191,10,14,20240711,Partner,1,194.71,0.0,194.71
192,46,12,20240622,Direct,3,361.12,0.05,1029.19
193,16,9,20240912,Partner,1,228.5,0.0,228.5
194,107,10,20241021,Partner,1,294.85,0.05,280.11
195,104,7,20240305,Online,1,459.69,0.0,459.69
196,63,14,20240914,Online,2,194.71,0.0,389.42
197,96,17,20241118,Direct,5,362.21,0.0,1811.05
198,113,7,20240217,Partner,1,459.69,0.0,459.69
199,91,15,20240507,Partner,2,381.95,0.15,649.31
200,115,20,20240723,Online,1,341.71,0.05,324.62
201,7,21,20240816,Partner,2,278.4,0.0,556.8
202,52,16,20240608,Direct,1,131.16,0.0,131.16
203,32,2,20240306,Direct,1,158.31,0.0,158.31
204,109,1,20240805,Online,1,202.03,0.0,202.03
205,133,1,20240830,Online,1,202.03,0.15,171.73
206,6,6,20240907,Direct,3,133.44,0.05,380.3
207,37,18,20240207,Partner,2,286.03,0.0,572.06
208,7,25,20240927,Partner,1,225.87,0.0,225.87
209,95,25,20240817,Direct,1,225.87,0.0,225.87
210,6,7,20240225,Direct,2,459.69,0.0,919.38
211,9,7,20240320,Direct,2,459.69,0.0,919.38
212,54,12,20240924,Online,3,361.12,0.0,1083.36
213,19,14,20240225,Online,1,194.71,0.05,184.97
214,77,8,20241224,Online,2,436.52,0.0,873.04
215,34,16,20240822,Direct,2,131.16,0.1,236.09
216,34,17,20241009,Direct,2,362.21,0.1,651.98
217,95,22,20240101,Direct,1,359.07,0.05,341.12
218,133,17,20240429,Online,1,362.21,0.0,362.21
