platform,month,campaign_id,campaign_name,channel,impressions,clicks,spend
Affiliate,2024-01,6,Affiliate_Partners,Affiliate,195516,8700,929.94
Affiliate,2024-02,6,Affiliate_Partners,Affiliate,194359,5554,1239.67
Affiliate,2024-03,6,Affiliate_Partners,Affiliate,43293,2455,255.12
Affiliate,2024-04,6,Affiliate_Partners,Affiliate,28301,1201,129.23
Affiliate,2024-05,6,Affiliate_Partners,Affiliate,113501,3922,484.52
Affiliate,2024-06,6,Affiliate_Partners,Affiliate,166711,9677,912.28
Affiliate,2024-07,6,Affiliate_Partners,Affiliate,92765,3905,462.84
Affiliate,2024-08,6,Affiliate_Partners,Affiliate,127139,3877,557.15
Affiliate,2024-09,6,Affiliate_Partners,Affiliate,173809,4638,739.69
Affiliate,2024-10,6,Affiliate_Partners,Affiliate,26704,846,115.37
Affiliate,2024-11,6,Affiliate_Partners,Affiliate,146672,1656,587.8
Affiliate,2024-12,6,Affiliate_Partners,Affiliate,36046,1798,207.37
