conversion_id,user_id,conversion_ts,revenue,conversion_type
1,u000072,2024-08-02 09:00:00,70.97,Trial Started
2,u000072,2024-05-25 06:00:00,74.47,Trial Started
3,u001096,2024-10-22 01:00:00,141.2,Trial Started
4,u001096,2024-04-10 03:00:00,50.88,Trial Started
5,u000924,2024-07-23 06:00:00,38.88,Upsell
6,u000576,2024-07-04 23:00:00,71.09,Upsell
7,u000386,2024-04-18 01:00:00,78.14,Upsell
8,u000775,2024-01-28 06:00:00,88.84,Paid Signup
9,u001388,2024-01-03 07:00:00,35.75,Paid Signup
10,u000797,2024-11-06 14:00:00,57.22,Upsell
11,u001124,2024-06-02 09:00:00,76.79,Upsell
12,u001148,2024-06-17 13:00:00,60.1,Paid Signup
13,u001673,2024-10-03 18:00:00,72.5,Trial Started
14,u000555,2024-02-05 16:00:00,48.89,Trial Started
15,u000555,2024-05-16 19:00:00,62.42,Paid Signup
16,u000439,2024-02-04 05:00:00,60.95,Paid Signup
17,u000439,2024-02-17 05:00:00,27.04,Paid Signup
18,u000682,2024-05-20 10:00:00,69.28,Upsell
19,u001568,2024-07-08 21:00:00,55.31,Trial Started
20,u001012,2024-05-13 17:00:00,65.81,Trial Started
21,u001482,2024-01-29 04:00:00,57.43,Paid Signup
22,u001777,2024-09-18 03:00:00,26.08,Upsell
23,u000479,2024-02-14 10:00:00,46.98,Trial Started
24,u000445,2024-03-11 08:00:00,38.7,Trial Started
25,u000280,2024-04-08 20:00:00,89.77,Paid Signup
26,u000866,2024-10-27 22:00:00,59.84,Paid Signup
27,u000866,2024-08-26 01:00:00,41.23,Upsell
28,u001103,2024-06-15 14:00:00,34.52,Trial Started
29,u000738,2024-02-23 08:00:00,83.59,Trial Started
30,u000738,2024-04-11 03:00:00,94.36,Trial Started
31,u000532,2024-01-22 18:00:00,43.88,Paid Signup
32,u001250,2024-02-04 04:00:00,137.35,Upsell
33,u001250,2024-06-28 01:00:00,21.52,Trial Started
34,u001048,2024-06-20 05:00:00,34.54,Trial Started
35,u001309,2024-09-12 18:00:00,77.47,Upsell
36,u001460,2024-08-22 11:00:00,67.59,Trial Started
37,u001749,2024-08-31 18:00:00,81.88,Upsell
38,u001749,2024-07-13 15:00:00,128.98,Paid Signup
39,u000614,2024-02-23 03:00:00,74.96,Paid Signup
40,u000766,2024-01-17 20:00:00,106.55,Upsell
41,u000766,2024-05-28 18:00:00,81.61,Upsell
42,u001787,2024-07-17 20:00:00,68.82,Trial Started
43,u001787,2024-05-24 04:00:00,48.21,Upsell
44,u000279,2024-04-11 09:00:00,23.9,Trial Started
45,u000279,2024-06-21 21:00:00,39.95,Trial Started
46,u000079,2024-03-10 18:00:00,70.32,Trial Started
47,u000667,2024-04-12 16:00:00,100.02,Upsell
48,u000667,2024-01-21 18:00:00,44.8,Upsell
49,u000681,2024-10-03 20:00:00,19.93,Upsell
50,u000681,2024-07-01 03:00:00,61.49,Trial Started
51,u001291,2024-07-04 13:00:00,81.57,Upsell
52,u001013,2024-08-24 21:00:00,70.54,Trial Started
53,u000163,2024-02-22 22:00:00,87.35,Upsell
54,u001542,2024-09-26 17:00:00,83.57,Trial Started
55,u001246,2024-04-27 22:00:00,94.97,Paid Signup
56,u001053,2024-03-23 05:00:00,66.79,Paid Signup
57,u001053,2024-05-26 23:00:00,99.17,Paid Signup
58,u001682,2024-02-06 21:00:00,89.91,Paid Signup
59,u000976,2024-06-26 23:00:00,71.68,Paid Signup
60,u000410,2024-02-10 13:00:00,63.79,Paid Signup
61,u001151,2024-03-27 10:00:00,52.65,Paid Signup
62,u000498,2024-10-08 22:00:00,140.51,Trial Started
63,u000498,2024-05-02 19:00:00,44.9,Trial Started
64,u001588,2024-01-15 15:00:00,210.48,Paid Signup
65,u001588,2024-07-12 12:00:00,68.07,Paid Signup
66,u000679,2024-09-15 19:00:00,58.64,Upsell
67,u001190,2024-08-26 11:00:00,34.87,Trial Started
68,u001071,2024-10-11 21:00:00,80.25,Upsell
69,u001528,2024-03-09 15:00:00,40.48,Trial Started
70,u001528,2024-02-22 00:00:00,72.66,Trial Started
71,u001759,2024-05-07 06:00:00,41.77,Paid Signup
72,u000960,2024-04-25 18:00:00,50.48,Trial Started
73,u000776,2024-02-02 06:00:00,35.27,Trial Started
74,u000776,2024-12-17 21:00:00,175.21,Paid Signup
75,u001486,2024-07-23 03:00:00,112.08,Trial Started
76,u001486,2024-03-25 14:00:00,68.45,Paid Signup
77,u000503,2024-03-19 12:00:00,45.04,Upsell
78,u001336,2024-11-17 22:00:00,62.3,Upsell
79,u001336,2024-02-03 01:00:00,79.69,Trial Started
80,u000818,2024-12-04 09:00:00,48.5,Trial Started
81,u001095,2024-09-04 11:00:00,81.42,Trial Started
82,u001375,2024-10-02 10:00:00,127.77,Upsell
83,u001303,2024-07-01 04:00:00,32.77,Upsell
84,u001303,2024-02-26 19:00:00,70.09,Trial Started
85,u000193,2024-03-28 02:00:00,56.59,Paid Signup
86,u001182,2024-06-27 23:00:00,28.26,Paid Signup
87,u001119,2024-04-29 00:00:00,76.47,Upsell
88,u001119,2024-02-22 21:00:00,73.69,Trial Started
89,u000076,2024-04-04 10:00:00,97.12,Paid Signup
90,u000839,2024-01-28 23:00:00,65.72,Trial Started
91,u000839,2024-03-08 20:00:00,32.61,Paid Signup
92,u000127,2024-03-22 12:00:00,129.98,Trial Started
93,u001341,2024-05-03 23:00:00,40.58,Trial Started
94,u001642,2024-01-10 04:00:00,66.59,Paid Signup
95,u000606,2024-02-01 22:00:00,81.59,Paid Signup
96,u000826,2024-09-10 04:00:00,66.52,Paid Signup
97,u000632,2024-11-26 03:00:00,51.83,Upsell
98,u000214,2024-10-26 16:00:00,38.43,Paid Signup
99,u000214,2024-06-13 08:00:00,78.01,Upsell
100,u000559,2024-09-07 16:00:00,54.01,Trial Started
101,u000846,2024-05-06 17:00:00,43.59,Upsell
102,u000846,2024-03-16 19:00:00,58.7,Trial Started
103,u001790,2024-07-06 04:00:00,102.53,Upsell
104,u001790,2024-05-27 22:00:00,163.14,Trial Started
105,u000526,2024-02-15 08:00:00,71.99,Paid Signup
106,u000380,2024-11-16 15:00:00,38.47,Upsell
107,u000902,2024-11-13 18:00:00,54.44,Upsell
108,u000946,2024-07-01 14:00:00,76.88,Upsell
109,u001566,2024-11-22 23:00:00,35.69,Upsell
110,u001566,2024-02-15 14:00:00,127.09,Upsell
111,u001227,2024-03-29 02:00:00,54.76,Upsell
112,u001465,2024-08-03 06:00:00,34.42,Paid Signup
113,u001404,2024-08-02 13:00:00,148.21,Upsell
114,u000232,2024-10-20 09:00:00,49.19,Paid Signup
115,u000831,2024-10-08 12:00:00,63.42,Upsell
116,u000147,2024-03-02 01:00:00,61.94,Paid Signup
117,u001679,2024-12-12 14:00:00,83.1,Upsell
118,u001470,2024-07-20 00:00:00,77.15,Paid Signup
119,u000909,2024-11-09 21:00:00,100.69,Trial Started
