platform,month,campaign_id,campaign_name,channel,impressions,clicks,spend
Google,2024-01,1,Search_Brand,Search,28770,662,317.18
Google,2024-01,2,Search_NonBrand,Search,23890,446,187.33
Google,2024-01,5,YouTube_Awareness,Video,74408,3164,674.4
Google,2024-02,1,Search_Brand,Search,125046,1452,1465.56
Google,2024-02,2,Search_NonBrand,Search,43983,759,437.88
Google,2024-02,5,YouTube_Awareness,Video,175465,8328,2142.39
Google,2024-03,1,Search_Brand,Search,156674,4383,1494.89
Google,2024-03,2,Search_NonBrand,Search,148404,3275,1729.94
Google,2024-03,5,YouTube_Awareness,Video,184369,8768,1853.68
Google,2024-04,1,Search_Brand,Search,50210,1181,449.32
Google,2024-04,2,Search_NonBrand,Search,78898,2518,803.64
Google,2024-04,5,YouTube_Awareness,Video,59132,2932,653.51
Google,2024-05,1,Search_Brand,Search,172872,3787,1818.69
Google,2024-05,2,Search_NonBrand,Search,137496,3865,1312.97
Google,2024-05,5,YouTube_Awareness,Video,165828,6503,1967.9
Google,2024-06,1,Search_Brand,Search,108205,5526,1263.8
Google,2024-06,2,Search_NonBrand,Search,161920,8769,1768.1
Google,2024-06,5,YouTube_Awareness,Video,101790,2433,1170.12
Google,2024-07,1,Search_Brand,Search,45139,1303,392.63
Google,2024-07,2,Search_NonBrand,Search,126282,6830,1156.34
Google,2024-07,5,YouTube_Awareness,Video,164829,8153,1773.9
Google,2024-08,1,Search_Brand,Search,63940,3235,627.96
Google,2024-08,2,Search_NonBrand,Search,153039,4890,1791.23
Google,2024-08,5,YouTube_Awareness,Video,146389,2449,1237.2
Google,2024-09,1,Search_Brand,Search,172982,4668,1627.75
Google,2024-09,2,Search_NonBrand,Search,27417,1123,313.1
Google,2024-09,5,YouTube_Awareness,Video,181516,3290,2118.72
Google,2024-10,1,Search_Brand,Search,51811,1420,487.84
Google,2024-10,2,Search_NonBrand,Search,122716,4243,1241.04
Google,2024-10,5,YouTube_Awareness,Video,114176,6446,1001.46
Google,2024-11,1,Search_Brand,Search,57494,2899,519.94
Google,2024-11,2,Search_NonBrand,Search,141570,7932,1122.98
Google,2024-11,5,YouTube_Awareness,Video,160718,1579,1610.09
Google,2024-12,1,Search_Brand,Search,98982,4346,1118.64
Google,2024-12,2,Search_NonBrand,Search,28501,338,298.49
Google,2024-12,5,YouTube_Awareness,Video,148223,2347,1559.32
