session_id,user_id,session_start_ts,channel,campaign_id,landing_page,device
1,u000338,2024-02-03 13:33:12,Search,2.0,/case-studies,desktop
2,u001301,2024-05-11 22:14:37,Paid Social,4.0,/blog,mobile
3,u001624,2024-02-13 20:05:04,Direct,,/blog,tablet
4,u000376,2024-09-09 21:35:49,Paid Social,3.0,/,mobile
5,u000760,2024-04-10 19:04:49,Search,2.0,/,mobile
6,u001626,2024-07-23 00:16:50,Organic,,/pricing,mobile
7,u001422,2024-07-16 06:14:28,Affiliate,6.0,/blog,tablet
8,u001579,2024-10-01 10:39:57,Paid Social,4.0,/product,desktop
9,u000070,2024-07-22 10:21:19,Affiliate,6.0,/product,desktop
10,u001422,2024-10-19 17:25:34,Affiliate,6.0,/case-studies,desktop
11,u000048,2024-08-24 01:50:44,Organic,,/pricing,tablet
12,u001675,2024-11-16 07:13:11,Organic,,/,mobile
13,u001657,2024-02-23 10:03:09,Search,1.0,/blog,mobile
14,u001131,2024-02-14 08:44:23,Search,2.0,/blog,desktop
15,u000310,2024-03-01 05:54:32,Organic,,/pricing,tablet
16,u000077,2024-11-29 15:18:27,Direct,,/blog,mobile
17,u000153,2024-09-30 07:29:47,Organic,,/pricing,mobile
18,u001380,2024-09-24 16:14:57,Paid Social,3.0,/,tablet
19,u000976,2024-11-26 21:54:04,Organic,,/product,desktop
20,u000412,2024-04-01 09:24:41,Direct,,/demo,mobile
21,u001098,2024-10-06 23:36:10,Direct,,/blog,desktop
22,u000748,2024-07-24 17:43:26,Search,2.0,/product,desktop
23,u000652,2024-02-26 20:14:41,Direct,,/blog,desktop
24,u000545,2024-05-08 23:39:40,Direct,,/,mobile
25,u000326,2024-02-21 12:03:48,Organic,,/case-studies,tablet
26,u001016,2024-10-13 02:59:05,Organic,,/,desktop
27,u000144,2024-12-22 08:40:43,Organic,,/product,tablet
28,u001533,2024-11-26 01:10:19,Organic,,/product,mobile
29,u001171,2024-02-25 15:46:03,Organic,,/product,desktop
30,u001140,2024-05-08 12:15:31,Organic,,/product,mobile
31,u000371,2024-01-02 11:56:23,Search,1.0,/case-studies,desktop
32,u001708,2024-03-25 22:33:22,Search,2.0,/demo,tablet
33,u000628,2024-06-27 01:56:36,Search,1.0,/,mobile
34,u000135,2024-01-05 11:03:46,Direct,,/pricing,desktop
35,u000768,2024-04-22 02:28:34,Affiliate,6.0,/case-studies,mobile
36,u001385,2024-09-25 21:34:11,Direct,,/product,tablet
37,u000495,2024-09-01 14:12:51,Direct,,/blog,mobile
38,u001520,2024-01-25 23:30:34,Search,1.0,/demo,desktop
39,u001037,2024-06-08 09:44:26,Search,2.0,/case-studies,mobile
40,u001795,2024-04-17 18:19:12,Organic,,/pricing,mobile
41,u001151,2024-10-17 04:25:05,Organic,,/,desktop
42,u001650,2024-06-24 05:53:51,Direct,,/blog,tablet
43,u000990,2024-06-25 01:20:15,Organic,,/,desktop
44,u000107,2024-04-06 00:49:26,Organic,,/demo,tablet
45,u000594,2024-05-21 07:30:08,Paid Social,3.0,/blog,mobile
46,u000350,2024-11-08 12:31:20,Organic,,/blog,mobile
47,u001783,2024-11-07 14:47:07,Search,2.0,/case-studies,mobile
48,u000310,2024-02-13 14:04:05,Paid Social,4.0,/,desktop
49,u000286,2024-10-09 06:20:48,Organic,,/case-studies,tablet
50,u001493,2024-06-21 18:15:26,Direct,,/blog,mobile
51,u000435,2024-07-24 20:33:30,Affiliate,6.0,/pricing,desktop
52,u001232,2024-08-23 07:08:57,Direct,,/blog,desktop
53,u001191,2024-07-23 23:32:18,Organic,,/blog,desktop
54,u000285,2024-01-01 08:09:15,Organic,,/product,tablet
55,u000566,2024-01-05 03:42:33,Organic,,/pricing,tablet
56,u000021,2024-02-01 23:01:30,Organic,,/blog,tablet
57,u000258,2024-10-20 03:43:05,Search,1.0,/demo,tablet
58,u000668,2024-04-26 20:39:15,Paid Social,3.0,/product,desktop
59,u000527,2024-12-19 20:09:39,Direct,,/case-studies,desktop
60,u001540,2024-08-03 06:18:00,Direct,,/pricing,mobile
61,u000291,2024-07-26 03:56:05,Direct,,/,desktop
62,u000193,2024-04-22 15:56:42,Organic,,/pricing,mobile
63,u001315,2024-04-20 04:58:45,Organic,,/blog,mobile
64,u000148,2024-12-16 04:32:46,Paid Social,3.0,/case-studies,desktop
65,u000260,2024-10-25 21:36:12,Search,2.0,/product,desktop
66,u000812,2024-08-15 18:42:12,Organic,,/blog,mobile
67,u001273,2024-03-29 09:27:34,Organic,,/pricing,mobile
68,u000377,2024-09-05 10:48:25,Affiliate,6.0,/pricing,tablet
69,u001525,2024-09-14 04:16:40,Direct,,/product,mobile
70,u001237,2024-05-14 15:09:36,Organic,,/case-studies,tablet
71,u001790,2024-11-15 16:41:19,Search,1.0,/,desktop
72,u000951,2024-02-22 04:34:58,Video,5.0,/blog,tablet
73,u000360,2024-12-25 10:53:59,Paid Social,3.0,/demo,tablet
74,u001240,2024-09-13 13:29:30,Organic,,/demo,tablet
75,u000086,2024-01-26 11:37:09,Search,1.0,/blog,mobile
76,u000634,2024-10-24 03:24:55,Search,2.0,/product,tablet
77,u001004,2024-02-18 19:55:49,Paid Social,3.0,/product,tablet
78,u000123,2024-02-12 10:40:05,Direct,,/product,tablet
79,u001505,2024-12-04 07:04:31,Video,5.0,/product,desktop
80,u000598,2024-08-07 06:00:40,Search,1.0,/,tablet
81,u001669,2024-08-30 16:37:53,Direct,,/demo,mobile
82,u000728,2024-01-30 10:23:57,Affiliate,6.0,/demo,tablet
83,u000861,2024-01-04 13:31:27,Search,1.0,/,tablet
84,u000151,2024-12-01 14:10:20,Video,5.0,/product,tablet
85,u000041,2024-11-23 15:17:08,Video,5.0,/blog,tablet
86,u001051,2024-11-07 11:25:40,Search,2.0,/blog,mobile
87,u000462,2024-08-02 13:47:53,Search,1.0,/,tablet
88,u000889,2024-02-21 18:16:37,Organic,,/,mobile
89,u000565,2024-02-14 04:17:34,Organic,,/case-studies,tablet
90,u001674,2024-03-03 01:02:29,Paid Social,4.0,/case-studies,desktop
91,u000934,2024-02-10 21:36:57,Video,5.0,/blog,desktop
92,u000671,2024-11-10 06:50:36,Organic,,/blog,mobile
93,u001294,2024-08-01 09:05:45,Paid Social,3.0,/,desktop
94,u000354,2024-11-24 20:28:42,Direct,,/blog,desktop
95,u001469,2024-08-18 02:57:03,Organic,,/product,mobile
96,u001597,2024-04-27 05:48:27,Video,5.0,/case-studies,tablet
97,u001554,2024-01-30 23:28:25,Direct,,/product,tablet
98,u001498,2024-07-04 09:18:14,Direct,,/product,tablet
99,u001680,2024-12-15 17:35:25,Organic,,/case-studies,desktop
100,u000503,2024-05-14 13:30:28,Paid Social,4.0,/blog,desktop
101,u000627,2024-10-28 15:13:55,Organic,,/product,desktop
102,u001690,2024-04-06 20:24:03,Organic,,/product,tablet
103,u000014,2024-09-06 06:34:54,Search,1.0,/demo,mobile
104,u000639,2024-12-20 22:46:19,Search,2.0,/case-studies,mobile
105,u000186,2024-09-26 08:12:14,Direct,,/product,mobile
106,u000163,2024-03-28 19:15:22,Organic,,/product,desktop
107,u001270,2024-01-23 09:45:13,Paid Social,4.0,/case-studies,tablet
