session_id,user_id,session_start_ts,channel,campaign_id,landing_page,device,session_month
1,u000338,2024-02-03 13:33:12,Search,2.0,/case-studies,desktop,2024-02
2,u001301,2024-05-11 22:14:37,Paid Social,4.0,/blog,mobile,2024-05
3,u001624,2024-02-13 20:05:04,Direct,,/blog,tablet,2024-02
4,u000376,2024-09-09 21:35:49,Paid Social,3.0,/,mobile,2024-09
5,u000760,2024-04-10 19:04:49,Search,2.0,/,mobile,2024-04
6,u001626,2024-07-23 00:16:50,Organic,,/pricing,mobile,2024-07
7,u001422,2024-07-16 06:14:28,Affiliate,6.0,/blog,tablet,2024-07
8,u001579,2024-10-01 10:39:57,Paid Social,4.0,/product,desktop,2024-10
9,u000070,2024-07-22 10:21:19,Affiliate,6.0,/product,desktop,2024-07
10,u001422,2024-10-19 17:25:34,Affiliate,6.0,/case-studies,desktop,2024-10
11,u000048,2024-08-24 01:50:44,Organic,,/pricing,tablet,2024-08
12,u001675,2024-11-16 07:13:11,Organic,,/,mobile,2024-11
13,u001657,2024-02-23 10:03:09,Search,1.0,/blog,mobile,2024-02
14,u001131,2024-02-14 08:44:23,Search,2.0,/blog,desktop,2024-02
15,u000310,2024-03-01 05:54:32,Organic,,/pricing,tablet,2024-03
16,u000077,2024-11-29 15:18:27,Direct,,/blog,mobile,2024-11
17,u000153,2024-09-30 07:29:47,Organic,,/pricing,mobile,2024-09
18,u001380,2024-09-24 16:14:57,Paid Social,3.0,/,tablet,2024-09
19,u000976,2024-11-26 21:54:04,Organic,,/product,desktop,2024-11
20,u000412,2024-04-01 09:24:41,Direct,,/demo,mobile,2024-04
21,u001098,2024-10-06 23:36:10,Direct,,/blog,desktop,2024-10
22,u000748,2024-07-24 17:43:26,Search,2.0,/product,desktop,2024-07
23,u000652,2024-02-26 20:14:41,Direct,,/blog,desktop,2024-02
24,u000545,2024-05-08 23:39:40,Direct,,/,mobile,2024-05
25,u000326,2024-02-21 12:03:48,Organic,,/case-studies,tablet,2024-02
26,u001016,2024-10-13 02:59:05,Organic,,/,desktop,2024-10
27,u000144,2024-12-22 08:40:43,Organic,,/product,tablet,2024-12
28,u001533,2024-11-26 01:10:19,Organic,,/product,mobile,2024-11
29,u001171,2024-02-25 15:46:03,Organic,,/product,desktop,2024-02
