conversion_id,user_id,conversion_ts,revenue,attributed_channel,attributed_campaign_id,model
1229,u000001,2024-05-03 17:00:00,161.59,Unattributed,,last_touch_30d
1443,u000002,2024-11-01 13:00:00,73.05,Unattributed,,last_touch_30d
1579,u000003,2024-01-10 16:00:00,60.05,Unattributed,,last_touch_30d
463,u000005,2024-06-03 08:00:00,75.03,Unattributed,,last_touch_30d
282,u000006,2024-01-16 23:00:00,75.23,Unattributed,,last_touch_30d
281,u000006,2024-12-13 05:00:00,49.1,Direct,,last_touch_30d
304,u000007,2024-08-24 00:00:00,65.34,Search,2.0,last_touch_30d
355,u000008,2024-04-21 19:00:00,52.98,Unattributed,,last_touch_30d
704,u000009,2024-06-27 21:00:00,48.07,Unattributed,,last_touch_30d
292,u000011,2024-02-20 08:00:00,156.08,Search,1.0,last_touch_30d
293,u000011,2024-12-27 19:00:00,81.77,Organic,,last_touch_30d
863,u000012,2024-03-28 10:00:00,72.21,Organic,,last_touch_30d
1346,u000013,2024-12-04 05:00:00,76.42,Organic,,last_touch_30d
403,u000014,2024-06-24 08:00:00,41.4,Unattributed,,last_touch_30d
1355,u000016,2024-08-29 20:00:00,43.56,Unattributed,,last_touch_30d
866,u000019,2024-01-11 07:00:00,78.3,Unattributed,,last_touch_30d
865,u000019,2024-03-01 07:00:00,51.41,Direct,,last_touch_30d
1456,u000024,2024-08-10 21:00:00,66.73,Organic,,last_touch_30d
1430,u000025,2024-07-04 20:00:00,159.97,Unattributed,,last_touch_30d
985,u000026,2024-08-31 08:00:00,51.88,Unattributed,,last_touch_30d
212,u000027,2024-03-07 23:00:00,32.44,Search,1.0,last_touch_30d
982,u000029,2024-03-16 14:00:00,53.08,Affiliate,6.0,last_touch_30d
981,u000029,2024-12-27 06:00:00,116.79,Unattributed,,last_touch_30d
590,u000030,2024-10-15 23:00:00,47.4,Unattributed,,last_touch_30d
1436,u000031,2024-01-22 20:00:00,60.92,Organic,,last_touch_30d
1225,u000032,2024-02-06 08:00:00,89.46,Unattributed,,last_touch_30d
1071,u000033,2024-11-21 09:00:00,65.09,Unattributed,,last_touch_30d
1514,u000034,2024-11-19 16:00:00,97.45,Organic,,last_touch_30d
145,u000035,2024-12-27 11:00:00,56.35,Direct,,last_touch_30d
996,u000036,2024-08-04 17:00:00,125.9,Unattributed,,last_touch_30d
1064,u000037,2024-04-25 05:00:00,61.88,Video,5.0,last_touch_30d
1312,u000038,2024-05-16 20:00:00,55.51,Search,2.0,last_touch_30d
584,u000039,2024-01-15 11:00:00,65.22,Paid Social,4.0,last_touch_30d
585,u000039,2024-06-29 00:00:00,113.58,Direct,,last_touch_30d
169,u000040,2024-05-09 06:00:00,29.74,Unattributed,,last_touch_30d
630,u000041,2024-04-29 10:00:00,78.31,Unattributed,,last_touch_30d
720,u000042,2024-11-09 23:00:00,54.2,Search,2.0,last_touch_30d
1689,u000043,2024-04-12 06:00:00,65.49,Search,1.0,last_touch_30d
1688,u000043,2024-04-28 21:00:00,75.28,Unattributed,,last_touch_30d
337,u000045,2024-03-03 04:00:00,55.05,Unattributed,,last_touch_30d
499,u000046,2024-09-16 05:00:00,35.93,Unattributed,,last_touch_30d
173,u000048,2024-12-10 19:00:00,72.51,Paid Social,4.0,last_touch_30d
794,u000050,2024-03-22 20:00:00,79.06,Video,5.0,last_touch_30d
253,u000051,2024-06-09 01:00:00,89.59,Unattributed,,last_touch_30d
254,u000051,2024-12-01 05:00:00,39.89,Video,5.0,last_touch_30d
1555,u000052,2024-06-24 08:00:00,87.42,Unattributed,,last_touch_30d
1554,u000052,2024-09-28 07:00:00,31.15,Unattributed,,last_touch_30d
1350,u000053,2024-08-30 05:00:00,58.85,Search,2.0,last_touch_30d
500,u000054,2024-12-26 10:00:00,105.7,Unattributed,,last_touch_30d
