month,channel,spend,impressions,clicks,attributed_revenue,conversions,roi
2024-01,Affiliate,929.94,195516,8700,383.36,4,0.41224164999892465
2024-01,Paid Social,1904.5,218986,9066,376.45,5,0.19766342872144918
2024-01,Search,504.51,52660,1108,419.53999999999996,4,0.8315791560127648
2024-01,Video,674.4,74408,3164,558.8,5,0.82858837485172
2024-02,Affiliate,1239.67,194359,5554,293.34,5,0.23662748957383817
2024-02,Paid Social,2359.3,326146,13904,854.47,12,0.3621709829186623
2024-02,Search,1903.44,169029,2211,1242.53,14,0.6527812802084646
2024-02,Video,2142.39,175465,8328,110.14,1,0.051409874019202856
2024-03,Affiliate,255.12,43293,2455,363.4,6,1.4244277202884916
2024-03,Paid Social,1863.27,257465,9836,865.31,12,0.46440397795273897
2024-03,Search,3224.83,305078,7658,828.0500000000001,13,0.2567732252552848
2024-03,Video,1853.68,184369,8768,602.9200000000001,9,0.3252557075654914
2024-04,Affiliate,129.23,28301,1201,218.82999999999998,4,1.693337460342026
2024-04,Paid Social,1927.1200000000001,218111,9207,1301.03,16,0.6751162356262194
2024-04,Search,1252.96,129108,3699,344.18,5,0.2746935257310688
2024-04,Video,653.51,59132,2932,534.73,7,0.8182430261204878
2024-05,Affiliate,484.52,113501,3922,152.96,2,0.3156938826054652
2024-05,Paid Social,1965.72,226641,10869,765.89,11,0.38962314063040515
2024-05,Search,3131.66,310368,7652,1240.57,15,0.3961381503739231
2024-05,Video,1967.9,165828,6503,200.4,3,0.1018344428070532
2024-06,Affiliate,912.28,166711,9677,359.12,5,0.3936510720392862
2024-06,Paid Social,610.29,80670,2120,616.14,9,1.0095856068426485
2024-06,Search,3031.8999999999996,270125,14295,1503.93,15,0.4960354892971405
2024-06,Video,1170.12,101790,2433,711.41,10,0.6079803780808806
2024-07,Affiliate,462.84,92765,3905,424.21999999999997,6,0.916558637974246
2024-07,Paid Social,1728.47,219875,4394,717.91,10,0.41534420614763345
2024-07,Search,1548.9699999999998,171421,8133,1189.48,14,0.7679167446754942
2024-07,Video,1773.9,164829,8153,223.48000000000002,3,0.12598229888945262
2024-08,Affiliate,557.15,127139,3877,118.59,2,0.21285111729336806
2024-08,Paid Social,1634.55,225411,6672,500.12,8,0.30596800342601943
2024-08,Search,2419.19,216979,8125,808.22,13,0.3340870291295847
2024-08,Video,1237.2,146389,2449,142.67,2,0.11531684448755253
2024-09,Affiliate,739.69,173809,4638,555.75,8,0.7513282591355838
2024-09,Paid Social,1804.93,247323,7741,665.0,7,0.36843534098275277
2024-09,Search,1940.85,200399,5791,713.12,10,0.3674266429657109
2024-09,Video,2118.72,181516,3290,335.69,4,0.15844000151034587
2024-10,Affiliate,115.37,26704,846,259.65,5,2.2505850741093867
2024-10,Paid Social,1733.73,221695,12063,693.74,9,0.4001430441879647
2024-10,Search,1728.8799999999999,174527,5663,1204.95,12,0.6969540974503726
2024-10,Video,1001.46,114176,6446,589.1,8,0.5882411678948735
2024-11,Affiliate,587.8,146672,1656,467.28,5,0.7949642735624363
2024-11,Paid Social,2387.33,282260,8692,833.9,13,0.3493023587019809
2024-11,Search,1642.92,199064,10831,792.24,13,0.4822145935285954
2024-11,Video,1610.09,160718,1579,422.06,6,0.26213441484637506
2024-12,Affiliate,207.37,36046,1798,190.8,3,0.9200945170468245
2024-12,Paid Social,3382.48,384742,6590,949.19,14,0.2806195454222937
2024-12,Search,1417.13,127483,4684,483.49,9,0.34117547437426343
2024-12,Video,1559.32,148223,2347,416.23,6,0.26693045686581335
